E	 M	.gitignore	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T16-02-20-756Z-saas-redesign-production/operations-students-documents-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T16-02-20-756Z-saas-redesign-production/operations-tasks-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T16-02-20-756Z-saas-redesign-production/operations-team-admin-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T16-02-20-756Z-saas-redesign-production/parent-portal-rtl-login-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T16-02-20-756Z-saas-redesign-production/parent-portal-rtl-login-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T16-02-20-756Z-saas-redesign-production/provider-portal-login-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T16-02-20-756Z-saas-redesign-production/report.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T16-02-20-756Z-saas-redesign-production/student-portal-rtl-login-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T16-02-20-756Z-saas-redesign-production/student-portal-rtl-login-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T19-23-57-000Z-bna-operations-crm-local/report.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/2026-06-10T19-31-30-000Z-bna-operations-crm-production/report.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/debug-mobile-login/diagnostic.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/debug-operations.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/debug-students-loading.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/one-time-schedule-team-live-2026-06-10T12-32-33-473Z/operations-mobile-drawer.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/one-time-schedule-team-live-2026-06-10T12-32-33-473Z/operations-schedule-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/one-time-schedule-team-live-2026-06-10T12-32-33-473Z/operations-schedule-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/one-time-schedule-team-live-2026-06-10T12-32-33-473Z/operations-schedule-workflow-expanded.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/one-time-schedule-team-live-2026-06-10T12-32-33-473Z/operations-team-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/one-time-schedule-team-live-2026-06-10T12-32-33-473Z/provider-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/one-time-schedule-team-live-2026-06-10T12-32-33-473Z/report.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/one-time-schedule-team-live-2026-06-10T12-40-32-794Z/operations-mobile-drawer.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/one-time-schedule-team-live-2026-06-10T12-40-32-794Z/operations-schedule-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/one-time-schedule-team-live-2026-06-10T12-40-32-794Z/operations-schedule-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/one-time-schedule-team-live-2026-06-10T12-40-32-794Z/operations-schedule-workflow-expanded.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/one-time-schedule-team-live-2026-06-10T12-40-32-794Z/operations-team-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/one-time-schedule-team-live-2026-06-10T12-40-32-794Z/provider-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/one-time-schedule-team-live-2026-06-10T12-40-32-794Z/report.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/queue-rescue-final-live-2026-06-10T12-05-40-057Z/operations-providers-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/queue-rescue-final-live-2026-06-10T12-05-40-057Z/parent-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/queue-rescue-final-live-2026-06-10T12-05-40-057Z/provider-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/queue-rescue-final-live-2026-06-10T12-05-40-057Z/provider-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/queue-rescue-final-live-2026-06-10T12-05-40-057Z/report.json	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/queue-rescue-final-live-2026-06-10T12-05-40-057Z/report.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/queue-rescue-final-live-2026-06-10T12-05-40-057Z/student-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-29-49-823Z/operations-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-29-49-823Z/operations-dropdown.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-29-49-823Z/operations-mobile-drawer.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-29-49-823Z/operations-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-29-49-823Z/parent-mobile-menu.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-29-49-823Z/parent-provider-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-29-49-823Z/parent-provider-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-29-49-823Z/report.json	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-29-49-823Z/report.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-29-49-823Z/student-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-29-49-823Z/student-mobile-menu.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-29-49-823Z/student-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-35-30-670Z/operations-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-37-37-574Z/operations-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-37-37-574Z/operations-dropdown.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-37-37-574Z/operations-mobile-drawer.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-37-37-574Z/operations-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-37-37-574Z/parent-mobile-menu.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-37-37-574Z/parent-provider-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-37-37-574Z/parent-provider-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-37-37-574Z/report.json	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-37-37-574Z/report.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-37-37-574Z/student-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-37-37-574Z/student-mobile-menu.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-37-37-574Z/student-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-40-56-966Z/operations-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-40-56-966Z/operations-dropdown.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-40-56-966Z/operations-mobile-drawer.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-40-56-966Z/operations-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-40-56-966Z/parent-mobile-menu.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-40-56-966Z/parent-provider-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-40-56-966Z/parent-provider-mobile.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-40-56-966Z/report.json	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-40-56-966Z/report.md	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-40-56-966Z/student-desktop.png	Not confidently attributable to the focused release; needs Shloimie review.
E	??	ops/playwright-smokes/task-402-brand-shell-2026-06-10T11-40-56-966Z/student-mobile-menu.png	Not confidently attributable to the focused release; needs Shloimie review.
